ds,y_yhat,temp_yhat,precip_yhat,green_initiatives_yhat,traffic_congestion_yhat,bike_lane_availability_yhat,fuel_prices_yhat,public_transport_fares_yhat,event_impact_yhat,school_open_yhat,remote_work_trends_yhat,tourism_trends_yhat,public_transport_reliability_yhat,extreme_weather_events_yhat,road_closures_construction_yhat,average_income_levels_yhat
2020-01-01,51525.89272583089,15.234897843506689,1.603279358397978,0.15711551551535355,56.43731385591036,0.3115063364419333,2.5562589801988316,1.4911431789685574,0.13048580565368256,1.0808266018581105,32.82784245873843,35.577883854240895,45.363108185536895,-0.03448120129436534,0.1747589046176436,52078.68828768152
2020-01-02,51968.06550701905,15.313756018537386,2.858929299608281,0.216927355018245,44.38918070939505,0.21803603614555728,2.5048758666440794,1.5015606131100392,0.06674667231288672,1.0575399368622698,33.75272872251168,36.92248384500769,36.996620796466196,-0.11007220913748758,0.32780754250630745,53102.89144720166
2020-01-03,50430.40499989244,15.816856045822735,1.1019960534260191,0.24774720824254298,48.3496657258706,0.3107860347215442,2.59555581751851,1.5054751418051693,0.020706873015698596,1.0705864646790375,31.466330667889263,55.660236016195796,45.206619340431196,0.0033519587966915863,0.17090761807691152,49609.200005612
2020-01-04,51306.192389600816,15.27935350118111,1.326246850297416,0.1640289457614621,42.63143782254447,0.059787324717253065,2.504355990210126,1.5005850323618724,0.1088589039179738,1.0340602217932087,31.855022468943798,45.07153585374286,38.48776924504158,-0.013191879697341712,0.17230122563792993,48657.95229514649
2020-01-05,50268.44495684505,16.086612008999875,0.9424576740561987,0.1726821094816734,45.433741784176924,0.16477511097477127,2.508063583129384,1.5124232722373903,0.0860127849362128,1.0486037075315577,32.42073972859314,46.2074659840038,45.61957251720621,-0.006151073572200957,0.12523034613614176,50571.19675774755
2020-01-06,49125.4418447508,15.65370414977214,3.101619714698192,0.1578378542574576,55.99178635397642,0.22548958156264165,2.5343728238733525,1.4856075783488623,0.12167779015344651,1.0592780151528904,34.116574318194616,47.133402931653514,46.225630353255745,0.02424967798646082,0.12323703043680981,50468.09267363766
2020-01-07,51247.61418462198,16.073357158780865,0.8161752077426875,0.18968386271271817,45.86852238085077,0.27125299109964507,2.5218802079137674,1.5191291101138298,0.10259960517116745,1.025161448612647,31.491249405589446,50.761343030091474,44.35243162061964,0.015610839959052363,0.17261468151049833,47932.65699177131
2020-01-08,50674.00215666299,16.52748946834125,1.791582570165243,0.22110323815130137,57.456721193068454,0.28942930673354483,2.5024936960920323,1.504218428592073,0.01617335064318147,1.0877476964252675,31.831588697215118,38.62230712661249,37.172028428803706,0.003690397441200966,0.13199856594873358,50834.17837879667
2020-01-09,50960.105715455065,15.791869126151568,2.876530750962506,0.1606075679505116,57.53736773713214,0.2209753223183069,2.4737061383549963,1.511520915693235,0.09973950764459132,0.9533406198444501,33.491721231774385,45.16546854320909,48.79524294799458,-0.02542224210477002,0.16682392950334293,50581.307671890434
2020-01-10,51102.90720991984,17.30910445103694,3.6776454975963215,0.19894602888092966,57.00638365957791,0.38064383203760876,2.5169781181648774,1.5156480330929238,0.05648752586776107,0.9948738710667078,34.419033115216344,55.19207168735055,44.050686169013716,-0.003907217494449146,0.11067317582303887,53131.64598738803
